"","Country.of.Origin","Farm.Name","Mill","Company","Altitude","Region","Producer","Number.of.Bags","Bag.Weight","In.Country.Partner","Harvest.Year","Grading.Date","Owner","Variety","Processing.Method","Aroma","Flavor","Aftertaste","Acidity","Body","Balance","Uniformity","Clean.Cup","Sweetness","Overall","Total.Cup.Points","Moisture","Category.One.Defects","Quakers","Color","Category.Two.Defects","Farm.Region","Region.Country","Quality.Classification"
"1","Ethiopia","metad plc","metad plc","Other",2075,"gujihambela","metad plc",300,"60 kg","METAD Agricultural Development plc","2014","April 4th, 2015","Other","Other","Washed / Wet",8.67,8.83,8.67,8.75,8.5,8.42,10,10,10,8.75,90.58,0.12,0,0,"Green",0,"metad plc-gujihambela","gujihambela-Ethiopia","Specialty"
"2","Ethiopia","metad plc","metad plc","Other",2075,"gujihambela","metad plc",300,"60 kg","METAD Agricultural Development plc","2014","April 4th, 2015","Other","Other","Washed / Wet",8.75,8.67,8.5,8.58,8.42,8.42,10,10,10,8.58,89.92,0.12,0,0,"Green",1,"metad plc-gujihambela","gujihambela-Ethiopia","Specialty"
"3","Guatemala","san marcos barrancas san cristobal cuch",NA,"Other",1700,NA,NA,5,"1","Specialty Coffee Association","2010","May 31st, 2010","grounds for health admin","Bourbon","Other",8.42,8.5,8.42,8.42,8.33,8.42,10,10,10,9.25,89.75,0,0,0,NA,0,"san marcos barrancas san cristobal cuch-NA","NA-Guatemala","Commodity"
"4","Ethiopia","yidnekachew dabessa coffee plantation","wolensu","Other",2000,"oromia","yidnekachew dabessa coffee plantation",320,"60 kg","METAD Agricultural Development plc","2014","March 26th, 2015","Other","Other","Natural / Dry",8.17,8.58,8.42,8.42,8.5,8.25,10,10,10,8.67,89,0.11,0,0,"Green",2,"yidnekachew dabessa coffee plantation-oromia","oromia-Ethiopia","Specialty"
"5","Ethiopia","metad plc","metad plc","Other",2075,"gujihambela","metad plc",300,"60 kg","METAD Agricultural Development plc","2014","April 4th, 2015","Other","Other","Washed / Wet",8.25,8.5,8.25,8.5,8.42,8.33,10,10,10,8.58,88.83,0.12,0,0,"Green",2,"metad plc-gujihambela","gujihambela-Ethiopia","Specialty"
"6","Brazil",NA,NA,"Other",1200,NA,NA,100,"30 kg","Specialty Coffee Institute of Asia","2013","September 3rd, 2013","Other","Bourbon","Natural / Dry",8.58,8.42,8.42,8.5,8.25,8.33,10,10,10,8.33,88.83,0.11,0,0,"Bluish-Green",1,"NA-NA","NA-Brazil","Specialty"
"7","Peru",NA,"hvc","Other",1200,NA,"hvc",100,"69 kg","Specialty Coffee Institute of Asia","2012","September 17th, 2012","Other","Other","Washed / Wet",8.42,8.5,8.33,8.5,8.25,8.25,10,10,10,8.5,88.75,0.11,0,0,"Bluish-Green",0,"NA-NA","NA-Peru","Specialty"
"8","Ethiopia","aolme","c.p.w.e","Other",1635,"oromia","bazen agricultural  industrial devt plc",300,"60 kg","Ethiopia Commodity Exchange","2010","September 2nd, 2010","ethiopia commodity exchange","Other","Other",8.25,8.33,8.5,8.42,8.33,8.5,10,10,9.33,9,88.67,0.03,0,0,NA,0,"aolme-oromia","oromia-Ethiopia","Commodity"
"9","Ethiopia","aolme","c.p.w.e","Other",1635,"oromiya","bazen agricultural  industrial devt plc",300,"60 kg","Ethiopia Commodity Exchange","2010","September 2nd, 2010","ethiopia commodity exchange","Other","Other",8.67,8.67,8.58,8.42,8.33,8.42,9.33,10,9.33,8.67,88.42,0.03,0,0,NA,0,"aolme-oromiya","oromiya-Ethiopia","Commodity"
"10","Ethiopia","tulla coffee farm","tulla coffee farm","Other",1822.5,"snnpkaffa zonegimbowereda","diamond enterprise plc",50,"60 kg","METAD Agricultural Development plc","2014","March 30th, 2015","Other","Other","Natural / Dry",8.08,8.58,8.5,8.5,7.67,8.42,10,10,10,8.5,88.25,0.1,0,0,"Green",4,"tulla coffee farm-snnpkaffa zonegimbowereda","snnpkaffa zonegimbowereda-Ethiopia","Specialty"
"11","Ethiopia","fahem coffee plantation",NA,"Other",1905,"oromia","fahem coffee plantation",300,"60 kg","METAD Agricultural Development plc","2014","March 27th, 2015","Other","Other","Natural / Dry",8.17,8.67,8.25,8.5,7.75,8.17,10,10,10,8.58,88.08,0.1,0,0,NA,1,"fahem coffee plantation-oromia","oromia-Ethiopia","Specialty"
"12","United States","el filo",NA,"Other",1872,"antioquia","alfredo de jesús lópez pérez",10,"1 kg","Almacafé","2014","March 13th, 2015","Other","Other","Washed / Wet",8.25,8.42,8.17,8.33,8.08,8.17,10,10,10,8.5,87.92,0,0,0,NA,0,"el filo-antioquia","antioquia-United States","Commodity"
"13","United States","los cedros",NA,"Other",1943,"antioquia","jorge walter restrepo",10,"1 kg","Almacafé","2014","March 13th, 2015","Other","Other","Washed / Wet",8.08,8.67,8.33,8.42,8,8.08,10,10,10,8.33,87.92,0,0,0,NA,0,"los cedros-antioquia","antioquia-United States","Commodity"
"14","United States (Hawaii)","arianna farms",NA,"Other",609.6,"kona","robert sharon arianna wood",1,"1","Specialty Coffee Association","2010","May 31st, 2010","grounds for health admin","Hawaiian Kona","Other",8.33,8.42,8.08,8.25,8.25,8,10,10,10,8.58,87.92,0,0,0,NA,2,"arianna farms-kona","kona-United States (Hawaii)","Commodity"
"15","Ethiopia","aolme","c.p.w.e","Other",1635,"oromiya","bazen agricultural  industrial devt plc",300,"60 kg","Ethiopia Commodity Exchange","2010","August 31st, 2010","ethiopia commodity exchange","Other","Other",8.25,8.33,8.5,8.25,8.58,8.75,9.33,10,9.33,8.5,87.83,0.05,0,0,NA,2,"aolme-oromiya","oromiya-Ethiopia","Commodity"
"16","United States","el águila",NA,"Other",2080,"antioquia","maría leticia diosa",10,"1 kg","Almacafé","2014","March 13th, 2015","Other","Other","Washed / Wet",8,8.5,8.58,8.17,8.17,8,10,10,10,8.17,87.58,0,0,0,NA,0,"el águila-antioquia","antioquia-United States","Commodity"
"17","Indonesia","toarco jaya",NA,"Other",1500,"sulawesi","pt toarco jaya",1,"2 kg,lbs","Specialty Coffee Association","2010","May 31st, 2010","grounds for health admin","Mandheling","Other",8.33,8.25,7.83,7.75,8.5,8.42,10,10,10,8.33,87.42,0.03,0,0,NA,0,"toarco jaya-sulawesi","sulawesi-Indonesia","Commodity"
"18","Ethiopia",NA,NA,"Other",1875,"yirgacheffe","green gold ethiopia | phone 0114342032",150,"6","Ethiopia Commodity Exchange","2010","June 16th, 2010","ethiopia commodity exchange","Other","Other",8.17,8.33,8.25,8.33,8.42,8.33,9.33,10,9.33,8.83,87.33,0.05,0,0,NA,2,"NA-yirgacheffe","yirgacheffe-Ethiopia","Commodity"
"19","China","echo coffee","echo coffee mill","yunnan coffee exchange",1450,"yunnan","echo coffee",3,"60 kg","Yunnan Coffee Exchange","2015","April 7th, 2016","yunnan coffee exchange","Catimor","Washed / Wet",8.42,8.25,8.08,8.17,7.92,8,10,10,10,8.42,87.25,0.1,0,0,"Green",0,"echo coffee-yunnan","yunnan-China","Specialty"
"20","Ethiopia","drima zede","drima zede","essence coffee",1850,"gedio","levelup",250,"60 kg","Blossom Valley International","2014","March 25th, 2015","essencecoffee","Ethiopian Yirgacheffe","Natural / Dry",8.17,8.17,8,8.17,8.08,8.33,10,10,10,8.33,87.25,0,0,0,NA,8,"drima zede-gedio","gedio-Ethiopia","Commodity"
"21","United States","el rodeo",NA,"Other",2019,"antioquia","nicolás rueda urrego",10,"1 kg","Almacafé","2014","March 13th, 2015","Other","Other","Washed / Wet",8,8.25,8.08,8.5,8.25,8,10,10,10,8.17,87.25,0,0,0,"None",0,"el rodeo-antioquia","antioquia-United States","Commodity"
"22","Costa Rica",NA,"cafe altura de san ramon","the coffee source inc",1300,"san ramon","several",250,"3 lbs","Specialty Coffee Association","2014","April 2nd, 2014","the coffee source inc","Caturra","Washed / Wet",8.08,8.25,8,8.17,8,8.33,10,10,10,8.33,87.17,0.11,0,0,"Green",2,"NA-san ramon","san ramon-Costa Rica","Specialty"
"23","Mexico","la herradura","la herradura","Other",1320,"xalapa","roberto licona franco",14,"1 kg","AMECAFE","2012","July 26th, 2012","Other","Other","Washed / Wet",8.17,8.25,8.17,8,7.83,8.17,10,10,10,8.58,87.17,0.13,0,0,"Green",0,"la herradura-xalapa","xalapa-Mexico","Commodity"
"24","United States","la curva",NA,"Other",2112,"antioquia","silvia elena higuita",10,"1 kg","Almacafé","2014","March 13th, 2015","Other","Other","Washed / Wet",8.25,8.33,8.17,8.17,7.83,8.17,10,10,10,8.17,87.08,0,0,0,NA,0,"la curva-antioquia","antioquia-United States","Commodity"
"25","Ethiopia",NA,NA,"Other",1550,"sidamo",NA,100,"60 kg","Specialty Coffee Institute of Asia","2013","September 3rd, 2013","Other","Other","Natural / Dry",8.42,8.17,7.92,8.17,8.33,8,10,10,10,8.08,87.08,0.11,0,0,"Bluish-Green",1,"NA-sidamo","sidamo-Ethiopia","Specialty"
"26","Brazil","fazenda kaquend",NA,"nucoffee",1250,"south of minas","ralph junqueira",3,"60 kg","NUCOFFEE","2011","December 3rd, 2011","nucoffee","Bourbon","Natural / Dry",8.5,8.5,8,8,8,8,10,10,10,7.92,86.92,0.12,0,0,"Green",2,"fazenda kaquend-south of minas","south of minas-Brazil","Specialty"
"27","Ethiopia",NA,NA,"Other",1550,"sidamo","green gold ethiopia | phone 0114342032",150,"6","Ethiopia Commodity Exchange","2010","June 16th, 2010","ethiopia commodity exchange","Other","Other",7.83,8.25,8.08,8.17,8.17,8.17,10,10,10,8.25,86.92,0.05,0,0,NA,2,"NA-sidamo","sidamo-Ethiopia","Commodity"
"28","Uganda","chebonet 23 women coffee","kabum trading company","Other",1950,"kapchorwa eastern","kabum trading company",100,"60 kg","Uganda Coffee Development Authority","2013","June 26th, 2014","Other","SL14","Washed / Wet",8.42,8.17,8.17,8.17,7.83,7.92,10,10,10,8.17,86.83,0.12,0,0,"Green",1,"chebonet 23 women coffee-kapchorwa eastern","kapchorwa eastern-Uganda","Specialty"
"29","Honduras","los hicaques","cigrah s.a de c.v.","cigrah sa de cv",1400,"comayagua","reinerio zepeda",275,"69 kg","Instituto Hondureño del Café","2016","May 18th, 2017","bismarck castro","Caturra","Washed / Wet",8.17,8.08,8.08,8,8.08,8,10,10,10,8.25,86.67,0.1,0,0,"Green",3,"los hicaques-comayagua","comayagua-Honduras","Specialty"
"30","Taiwan","tsoustructive garden ","tsoustructive garden ???","taiwan coffee laboratory",1200,"leye alishan township chiayi county","fangzhenglun ",20,"50 kg","Specialty Coffee Association","2015","May 18th, 2016","lin chehao krude ","Sumatra","Pulped natural / honey",8,8,8,8.25,8,8.17,10,10,10,8.17,86.58,0,0,0,"Green",0,"tsoustructive garden -leye alishan township chiayi county","leye alishan township chiayi county-Taiwan","Commodity"
"31","Nicaragua",NA,"beneficio atlantic condega","Other",1200,NA,NA,275,"6","Specialty Coffee Association","2010","May 18th, 2010","Other","Caturra","Other",7.92,8.25,8,8.33,8,8.08,10,10,10,8,86.58,0.08,0,0,NA,2,"NA-NA","NA-Nicaragua","Commodity"
"32","Tanzania, United Republic Of",NA,NA,"Other",1200,NA,NA,100,"60 kg","Specialty Coffee Institute of Asia","2012","September 3rd, 2013","Other","Other","Natural / Dry",8.42,8.17,8.17,8,7.58,8,10,10,10,8.17,86.5,0.11,0,0,"Bluish-Green",1,"NA-NA","NA-Tanzania, United Republic Of","Specialty"
"33","Brazil","fazenda recreio",NA,"nucoffee",1300,"vale da grama","homero texeira de macedo junior",29,"60 kg","NUCOFFEE","2011","December 3rd, 2011","nucoffee","Bourbon","Natural / Dry",8.5,8.17,8,7.75,8,8,10,10,10,8,86.42,0.12,0,0,"Green",2,"fazenda recreio-vale da grama","vale da grama-Brazil","Specialty"
"34","Costa Rica","exclusive coffees sa","exclusive coffees s.a,","Other",1300,"west and central valley","exclusive coffees sa",250,"2 lbs","Specialty Coffee Association of Costa Rica","2016","December 3rd, 2015","Other","Caturra","Washed / Wet",8.17,7.83,8,8.08,7.83,8,10,10,10,8.42,86.33,0,0,0,"Blue-Green",0,"exclusive coffees sa-west and central valley","west and central valley-Costa Rica","Commodity"
"35","Ethiopia","haider abamecha coffee plantation","faysal abamecha processing plant at yebu town","Other",1775,"oromia","haider abamecha abadiko",320,"60 kg","METAD Agricultural Development plc","2014","March 27th, 2015","Other","Other","Natural / Dry",8,8.08,7.92,8,8.08,8.08,10,10,10,8.08,86.25,0.1,0,0,"Green",3,"haider abamecha coffee plantation-oromia","oromia-Ethiopia","Specialty"
"36","Kenya","kangunu","central kenya coffee mills","Other",1800,"muranga","kangunu",320,"1 kg","Kenya Coffee Traders Association","2013","May 30th, 2014","Other","SL34","Washed / Wet",8.08,8,8,8.25,7.92,7.92,10,10,10,8.08,86.25,0.12,0,0,"Blue-Green",1,"kangunu-muranga","muranga-Kenya","Specialty"
"37","United States (Hawaii)",NA,NA,"kona pacific farmers cooperative",518.16,"kona",NA,10,"100 lbs","Specialty Coffee Association","2012","April 6th, 2012","kona pacific farmers cooperative","Hawaiian Kona","Natural / Dry",8.08,8.17,8,7.92,7.92,7.83,10,10,10,8.33,86.25,0,1,0,NA,4,"NA-kona","kona-United States (Hawaii)","Commodity"
"38","United States (Hawaii)","kona pacific farmers cooperative",NA,"Other",518.16,"kona","kona pacific farmers coop",25,"100 lbs","Specialty Coffee Association","2010","January 28th, 2011","kona pacific farmers cooperative","Hawaiian Kona","Other",8.25,8.42,8.08,7.75,7.67,7.83,10,10,10,8.25,86.25,0,2,0,NA,1,"kona pacific farmers cooperative-kona","kona-United States (Hawaii)","Commodity"
"39","Ethiopia","phone number | 0911510801 email | at",NA,"Other",1875,"yirgacheffe","contact name | ato teshome belamo",300,"6","Ethiopia Commodity Exchange","2010","June 17th, 2010","ethiopia commodity exchange","Other","Other",7.92,7.75,8.08,8.08,8.08,8.17,10,10,10,8.17,86.25,0.1,0,0,NA,2,"phone number | 0911510801 email | at-yirgacheffe","yirgacheffe-Ethiopia","Specialty"
"40","United States","la primavera",NA,"Other",1941,"antioquia","hugo sepúlveda montoya",10,"1 kg","Almacafé","2014","March 13th, 2015","Other","Other","Washed / Wet",7.67,8.17,8,8,8.17,8.08,10,10,10,8.08,86.17,0,0,0,NA,0,"la primavera-antioquia","antioquia-United States","Commodity"
"41","Thailand","coop 12",NA,"Other",1300,"chiang rai","itdp",53,"1 kg","Specialty Coffee Association","2012","April 12th, 2012","Other","Caturra","Washed / Wet",7.83,8.33,7.83,8.25,7.58,7.92,10,10,10,8.42,86.17,0.1,1,0,"Green",9,"coop 12-chiang rai","chiang rai-Thailand","Commodity"
"42","Brazil","pereira estate coffee","cocarive","Other",1100,"sul de minas  carmo de minas","maria rogeria costa pereira",300,"60 kg","Specialty Coffee Association","2010","January 4th, 2011","jacques pereira carneiro","Yellow Bourbon","Other",8.17,7.92,7.92,7.75,8.33,8,10,10,10,8.08,86.17,0.08,0,0,NA,2,"pereira estate coffee-sul de minas  carmo de minas","sul de minas  carmo de minas-Brazil","Commodity"
"43","Brazil","pereira estate coffee","cocarive","Other",1100,"sul de minas  carmo de minas","maria rogeria costa pereira",300,"60 kg","Specialty Coffee Association","2010","January 4th, 2011","jacques pereira carneiro","Yellow Bourbon","Other",8.42,7.92,8,7.75,7.92,8,10,10,10,8.17,86.17,0.01,0,0,NA,3,"pereira estate coffee-sul de minas  carmo de minas","sul de minas  carmo de minas-Brazil","Commodity"
"44","Taiwan","sunshine valley estate ","sunshine valley estate ??????","taiwan coffee laboratory",1000,"natou county","lin yen chien ",10,"15 kg","Specialty Coffee Association","2015","June 10th, 2015","lin chehao krude ","Bourbon","Semi-washed / Semi-pulped",8.08,8.17,7.75,8.08,7.75,7.83,10,10,10,8.42,86.08,0.12,0,0,"Green",0,"sunshine valley estate -natou county","natou county-Taiwan","Specialty"
"45","Kenya","jungle estate","nkg coffee mills","Other",1754,"nyeri","jungle estate",12,"60 kg","Kenya Coffee Traders Association","2014","January 29th, 2015","Other","SL28","Natural / Dry",8.08,8.08,8,8,7.83,8.08,10,10,10,8,86.08,0.11,0,0,"Bluish-Green",2,"jungle estate-nyeri","nyeri-Kenya","Specialty"
"46","Brazil","fazenda kaquend",NA,"nucoffee",1250,"south of minas","ralph junqueira",7,"60 kg","NUCOFFEE","2011","December 3rd, 2011","nucoffee","Bourbon","Semi-washed / Semi-pulped",8.33,8,8,8,7.75,8,10,10,10,8,86.08,0.11,0,0,"Blue-Green",2,"fazenda kaquend-south of minas","south of minas-Brazil","Specialty"
"47","Uganda","kaasayi","great lakes coffee","Other",1790,"eastern uganda","kaasay farmer group",1,"60 kg","Uganda Coffee Development Authority","2014","October 1st, 2014","Other","SL14","Semi-washed / Semi-pulped",8.08,8.08,7.83,7.92,8.08,7.92,10,10,10,8.08,86,0,0,0,NA,0,"kaasayi-eastern uganda","eastern uganda-Uganda","Commodity"
"48","Colombia","ecobio colombia",NA,"lusso coffee lab",1200,"tolima",NA,1,"2 kg","Specialty Coffee Association","2013","March 20th, 2014","lusso lab","Caturra","Washed / Wet",7.75,7.92,7.83,8.08,8.08,8.17,10,10,10,8.17,86,0.12,1,0,"Green",1,"ecobio colombia-tolima","tolima-Colombia","Commodity"
"49","Kenya","kianjavi",NA,"lusso coffee lab",1860,"kiambu",NA,1,"1 kg","Specialty Coffee Association","2013","February 6th, 2014","lusso lab","SL28","Washed / Wet",7.92,8.17,7.83,8.5,7.5,7.92,10,10,10,8.17,86,0.11,0,0,"Green",1,"kianjavi-kiambu","kiambu-Kenya","Specialty"
"50","Uganda",NA,NA,"kawacom uganda ltd",1650,"sipi mt elgon","kawacom",1,"60 kg","Africa Fine Coffee Association","2012","February 13th, 2012","afca","Other","Washed / Wet",8.25,8,7.83,8.08,8,7.92,10,10,10,7.92,86,0.1,0,0,"Blue-Green",0,"NA-sipi mt elgon","sipi mt elgon-Uganda","Specialty"
"51","Ethiopia","contact | sidacoopethionetnet","coffee processing and warehouse enterpri","Other",1750,"sidamo","sidama coffee farmers coop union",300,"6","Ethiopia Commodity Exchange","2010","June 17th, 2010","ethiopia commodity exchange","Other","Other",7.75,8.08,8,8.25,8,8,10,10,10,7.92,86,0.01,0,0,NA,4,"contact | sidacoopethionetnet-sidamo","sidamo-Ethiopia","Commodity"
"52","United States (Hawaii)","hula daddy kona coffee",NA,"Other",426.72,"kona","hula daddy kona coffee",1,"2","Specialty Coffee Association","2009","May 31st, 2010","grounds for health admin","Hawaiian Kona","Other",8.33,8.17,7.75,8,7.75,7.83,10,10,10,8.17,86,0,0,0,NA,0,"hula daddy kona coffee-kona","kona-United States (Hawaii)","Commodity"
"53","Guatemala","la esperanza y anexos","beneficio ixchel","unex guatemala sa",1500,"nuevo oriente","margarita avila de nuyens",80,"69 kg","Asociacion Nacional Del Café","2016","May 16th, 2016","juan luis alvarado romero","Bourbon","Washed / Wet",7.92,8.08,7.92,8.08,8.08,7.83,10,10,10,8,85.92,0.1,0,1,"Green",3,"la esperanza y anexos-nuevo oriente","nuevo oriente-Guatemala","Commodity"
"54","Uganda","sipi organic coffee project","kawacom","kawacom uganda ltd",1650,"eastern","kawacom ultd",1,"60 kg","Uganda Coffee Development Authority","2013","June 30th, 2014","Other","SL14","Natural / Dry",8.17,8.17,7.92,8.08,7.83,7.75,10,10,10,8,85.92,0.12,0,0,"Green",0,"sipi organic coffee project-eastern","eastern-Uganda","Specialty"
"55","Colombia",NA,"trilladora boananza","exportadora de cafe condor sa",1800,"huila",NA,275,"70 kg","Almacafé","2013","July 26th, 2013","exportadora de cafe condor sa","Caturra","Washed / Wet",8,8,8,8.17,7.83,8,10,10,10,7.92,85.92,0,1,0,"Blue-Green",0,"NA-huila","huila-Colombia","Commodity"
"56","Panama","la berlina estate","beneficio casa ruiz s.a.","Other",1600,"boquete","plinio ruiz",37,"60 kg","Specialty Coffee Association of Costa Rica","2017","October 9th, 2017","Other","Gesha","Washed / Wet",8,8,7.92,8.08,7.83,8,10,10,10,8,85.83,0.08,0,1,"Bluish-Green",0,"la berlina estate-boquete","boquete-Panama","Commodity"
"57","Ethiopia",NA,"burka gudina","Other",1900,"oromia","ibrahim hussien specialty coffee producer and exporter",320,"60 kg","METAD Agricultural Development plc","2014","April 4th, 2015","Other","Other","Washed / Wet",7.83,8.08,7.92,8.08,8,7.92,10,10,10,8,85.83,0.1,0,0,"Green",4,"NA-oromia","oromia-Ethiopia","Specialty"
"58","Guatemala","valparaiso","beneficio valparaiso","Other",1524,"acatenango","sertrasa",150,"1 kg","Asociacion Nacional Del Café","2012","July 3rd, 2012","juan luis alvarado romero","Bourbon","Washed / Wet",7.83,8,8,8.17,7.83,8,10,10,10,8,85.83,0.12,0,0,"Green",3,"valparaiso-acatenango","acatenango-Guatemala","Specialty"
"59","Guatemala","finca el limon","beneficio serben","Other",1417.32,"nuevo oriente","william estuardo martinez pacheco",275,"1 kg","Asociacion Nacional Del Café","2012","June 5th, 2012","juan luis alvarado romero","Catuai","Washed / Wet",8,8,7.83,8.33,7.83,7.83,10,10,10,8,85.83,0.1,0,0,"Bluish-Green",1,"finca el limon-nuevo oriente","nuevo oriente-Guatemala","Specialty"
"60","Ethiopia","seid damtew coffee planation","seid damtew coffee export and plantation","Other",1800,"addis ababa","seid damtew coffee export and plantation",320,"19200 kg","METAD Agricultural Development plc","2017","June 23rd, 2017","Other","Caturra","Natural / Dry",7.83,8,7.83,8.17,7.92,8,10,10,10,8,85.75,0.09,0,4,"None",7,"seid damtew coffee planation-addis ababa","addis ababa-Ethiopia","Commodity"
"61","Peru",NA,NA,"sustainable harvest",1200,"cajamarca",NA,280,"5 lbs","Specialty Coffee Association","2013","January 22nd, 2014","dane loraas","Other","Washed / Wet",8,8,8,8.08,7.92,7.75,10,10,10,8,85.75,0.1,4,0,"Green",6,"NA-cajamarca","cajamarca-Peru","Commodity"
"62","Papua New Guinea","tairora cherry  bonta","baroida","cqi",1700,"eastern highlands province","colbran coffeelands ltd",7,"60 kg","Specialty Coffee Association","2012","October 25th, 2012","Other","Other","Washed / Wet",8.33,8.42,7.83,8.33,8,8.25,9.33,9.33,10,7.92,85.75,0.12,0,0,"Bluish-Green",1,"tairora cherry  bonta-eastern highlands province","eastern highlands province-Papua New Guinea","Specialty"
"63","El Salvador","el majahual","j. hill y cia","Other",1500,"apaneca","aida batlle",275,"2 kg","Specialty Coffee Association","2013","March 18th, 2013","Other","Bourbon","Washed / Wet",7.92,8.17,8,7.92,7.75,7.83,10,10,10,8,85.58,0.1,0,0,"Blue-Green",3,"el majahual-apaneca","apaneca-El Salvador","Specialty"
"64","El Salvador","finca la esmeralda","aqua caliente, j.j. borja nathan. s.a","lusso coffee lab",1350,"ataco apaneca  ilamatepec mountain range","oscar roberto murgas linares",19,"1 kg","Specialty Coffee Association","2012","January 12th, 2013","lusso lab","Bourbon","Semi-washed / Semi-pulped",7.83,8,8,7.75,7.92,8.17,10,10,10,7.92,85.58,0.11,0,0,"None",0,"finca la esmeralda-ataco apaneca  ilamatepec mountain range","ataco apaneca  ilamatepec mountain range-El Salvador","Specialty"
"65","United States (Hawaii)",NA,NA,"kona pacific farmers cooperative",518.16,"kona",NA,8,"100 lbs","Specialty Coffee Association","2012","April 6th, 2012","kona pacific farmers cooperative","Hawaiian Kona","Natural / Dry",7.83,8,7.92,7.75,8.08,8,10,10,10,8,85.58,0,0,0,NA,1,"NA-kona","kona-United States (Hawaii)","Commodity"
"66","Panama","elida estate","elida estate","essence coffee",1680,"boquete","lamastus",100,"60 kg","Blossom Valley International","2014","May 23rd, 2015","essencecoffee","Caturra","Natural / Dry",8,7.75,7.83,7.83,7.67,8.58,10,10,10,7.83,85.5,0.09,2,0,NA,2,"elida estate-boquete","boquete-Panama","Commodity"
"67","Kenya","inoi","inoi","essence coffee",1900,"kirinyaga",NA,16,"60 kg","Blossom Valley International","2014","May 23rd, 2015","essencecoffee","SL28","Natural / Dry",7.92,7.92,7.83,8.08,7.83,7.92,10,10,10,8,85.5,0.1,0,0,"Green",3,"inoi-kirinyaga","kirinyaga-Kenya","Specialty"
"68","Ethiopia",NA,NA,"Other",1900,"oromia","assefa belay coffee producer",320,"60 kg","METAD Agricultural Development plc","2015","March 31st, 2015","Other","Other","Natural / Dry",7.83,8,7.83,7.92,7.83,8.08,10,10,10,8,85.5,0.12,0,0,"Green",7,"NA-oromia","oromia-Ethiopia","Commodity"
"69","Uganda","buginyanya","kyagalanyi coffee ltd","Other",1600,"bulambuli eastern region","kyagalanyi coffee ltd",320,"60 kg","Uganda Coffee Development Authority","2013","June 26th, 2014","Other","SL14","Washed / Wet",8.33,7.92,7.67,7.92,7.67,7.92,10,10,10,8.08,85.5,0.12,0,0,"Green",1,"buginyanya-bulambuli eastern region","bulambuli eastern region-Uganda","Specialty"
"70","Guatemala","asoperc","beneficio exportacafe agua santa","exportcafe",1731.264,"huehuetenango","asociacion de permacultores de cuilco santos lopez mejia",250,"69 kg","Asociacion Nacional Del Café","2013","February 26th, 2013","juan luis alvarado romero","Bourbon","Washed / Wet",8,7.83,7.67,8.33,7.83,8,10,10,10,7.83,85.5,0.11,0,0,"Green",1,"asoperc-huehuetenango","huehuetenango-Guatemala","Specialty"
"71","Ethiopia",NA,NA,"Other",1900,"oromia","assefa belay coffee producer",320,"60 kg","METAD Agricultural Development plc","2015","March 31st, 2015","Other","Other","Washed / Wet",7.75,7.83,7.83,8.17,7.92,7.83,10,10,10,8.08,85.42,0.1,0,0,"Green",18,"NA-oromia","oromia-Ethiopia","Commodity"
"72","Uganda","chesiyo farmer group","great lakes coffee","Other",1950,"kapchorwa","chesiyo farmer group",150,"60 kg","Uganda Coffee Development Authority","2013","June 26th, 2014","Other","SL14","Washed / Wet",8.08,8,7.83,7.67,8,7.83,10,10,10,8,85.42,0.12,0,0,"Green",5,"chesiyo farmer group-kapchorwa","kapchorwa-Uganda","Specialty"
"73","United States (Hawaii)",NA,NA,"kona pacific farmers cooperative",518.16,"kona",NA,8,"100 lbs","Specialty Coffee Association","2012","April 6th, 2012","kona pacific farmers cooperative","Hawaiian Kona","Natural / Dry",7.92,7.92,7.75,7.92,7.75,7.92,10,10,10,8.25,85.42,0,4,0,NA,6,"NA-kona","kona-United States (Hawaii)","Commodity"
"74","Brazil","fazenda serra de três barras",NA,"nucoffee",1250,"south of minas","josé vagner ribeiro junqueira",5,"60 kg","NUCOFFEE","2011","December 3rd, 2011","nucoffee","Bourbon","Semi-washed / Semi-pulped",8,8,8,7.67,7.75,8,10,10,10,8,85.42,0.11,0,0,"Blue-Green",1,"fazenda serra de três barras-south of minas","south of minas-Brazil","Specialty"
"75","El Salvador","sierra nevada","beneficio las tres puertas","Other",1400,"apaneca","j hill y cia sa de cv",2,"1 kg,lbs","Specialty Coffee Association","2010","May 31st, 2010","grounds for health admin","Bourbon","Other",8.08,7.83,7.83,8.08,7.83,7.83,10,10,10,7.92,85.42,0.01,0,0,NA,0,"sierra nevada-apaneca","apaneca-El Salvador","Commodity"
"76","China","puer city longke coffee coltd","pu'er city longke coffee co.ltd","yunnan coffee exchange",1700,"yunnan","puer city longke coffee coltd",3,"60 kg","Yunnan Coffee Exchange","2015","April 6th, 2016","yunnan coffee exchange","Catimor","Natural / Dry",8,8,8,7.83,7.83,7.75,10,10,10,7.92,85.33,0.1,0,0,"Green",0,"puer city longke coffee coltd-yunnan","yunnan-China","Specialty"
"77","Guatemala","el injerto sa","el injerto s.a.","essence coffee",1770,"huehuetenango","arturo aguirre",36,"30 kg","Blossom Valley International","2014","May 23rd, 2015","essencecoffee","Pacamara","Natural / Dry",7.83,7.75,7.83,7.67,7.83,8.58,10,10,10,7.83,85.33,0.11,0,0,"Green",1,"el injerto sa-huehuetenango","huehuetenango-Guatemala","Specialty"
